image_index,Boundary_F1,Boundary_IoU,Boundary_Precision,Boundary_Recall,Pred_Boundary_Pixels,GT_Boundary_Pixels
1,1.0,0.9901403188705444,1.0,1.0,926.0,934.0
2,1.0,0.9898062944412231,1.0,1.0,1199.0,1230.0
3,0.9995774626731873,0.9860241413116455,0.9991554021835327,1.0,1184.0,1202.0
4,1.0,0.9884973764419556,1.0,1.0,1195.0,1216.0
5,1.0,0.9882010221481323,1.0,1.0,1197.0,1216.0
6,1.0,0.9897384643554688,1.0,1.0,1476.0,1520.0
7,0.9996519088745117,0.9845263361930847,0.9993041157722473,1.0,1437.0,1447.0
8,1.0,0.9899446964263916,1.0,1.0,1463.0,1476.0
9,1.0,0.9905754923820496,1.0,1.0,1469.0,1477.0
10,1.0,0.9889351725578308,1.0,1.0,1563.0,1575.0
11,0.9986893534660339,0.9871075749397278,0.9973822236061096,1.0,1528.0,1526.0
12,1.0,0.986768364906311,1.0,1.0,1547.0,1525.0
13,1.0,0.9890057444572449,1.0,1.0,1541.0,1526.0
14,1.0,0.992022693157196,1.0,1.0,1336.0,1358.0
15,1.0,0.9884745478630066,1.0,1.0,1320.0,1325.0
16,1.0,0.9910629391670227,1.0,1.0,1331.0,1317.0
17,1.0,0.9910496473312378,1.0,1.0,1316.0,1313.0
18,1.0,0.9908967614173889,1.0,1.0,1362.0,1380.0
19,1.0,0.9892516732215881,1.0,1.0,1352.0,1347.0
20,1.0,0.9893877506256104,1.0,1.0,1354.0,1351.0
21,1.0,0.9888466000556946,1.0,1.0,1351.0,1349.0
22,1.0,0.9901727437973022,1.0,1.0,1901.0,1864.0
23,0.9994634389877319,0.9865511059761047,0.9989275932312012,1.0,1865.0,1804.0
24,0.9994634389877319,0.9851682186126709,0.9989275932312012,1.0,1865.0,1800.0
25,0.9986460208892822,0.9842692017555237,0.9972958564758301,1.0,1849.0,1800.0
26,0.9999533891677856,0.9849482774734497,0.9999069571495056,1.0,32235.0,29652.0
27,1.0,0.9912512302398682,1.0,1.0,30929.0,29153.0
28,1.0,0.988865852355957,1.0,1.0,937.0,934.0
29,1.0,0.9889649748802185,1.0,1.0,918.0,906.0
30,1.0,0.9906666874885559,1.0,1.0,912.0,908.0
31,1.0,0.9896914958953857,1.0,1.0,2493.0,2540.0
32,1.0,0.9902735352516174,1.0,1.0,2470.0,2497.0
33,1.0,0.9885397553443909,1.0,1.0,2480.0,2486.0
34,1.0,0.9904928803443909,1.0,1.0,2446.0,2481.0
35,1.0,0.993057906627655,1.0,1.0,1082.0,1096.0
36,1.0,0.9904040694236755,1.0,1.0,1084.0,1090.0
37,1.0,0.9911879301071167,1.0,1.0,1074.0,1074.0
38,1.0,0.9905164837837219,1.0,1.0,1078.0,1079.0
39,1.0,0.9892114400863647,1.0,1.0,929.0,905.0
40,1.0,0.986849844455719,1.0,1.0,899.0,885.0
41,1.0,0.9868369102478027,1.0,1.0,916.0,881.0
42,1.0,0.9883903861045837,1.0,1.0,916.0,882.0
43,1.0,0.9905228018760681,1.0,1.0,1736.0,1782.0
44,1.0,0.9910213351249695,1.0,1.0,1737.0,1750.0
45,1.0,0.9895982146263123,1.0,1.0,1728.0,1756.0
46,1.0,0.9881716966629028,1.0,1.0,1732.0,1754.0
47,1.0,0.9885448813438416,1.0,1.0,1160.0,1195.0
48,1.0,0.9923112392425537,1.0,1.0,1145.0,1156.0
49,1.0,0.9892857074737549,1.0,1.0,1144.0,1166.0
50,1.0,0.988676905632019,1.0,1.0,1151.0,1167.0
51,1.0,0.9897496104240417,1.0,1.0,1253.0,1260.0
52,1.0,0.9898989796638489,1.0,1.0,1215.0,1230.0
53,1.0,0.9845927953720093,1.0,1.0,1230.0,1223.0
54,1.0,0.9867821931838989,1.0,1.0,1227.0,1220.0
55,1.0,0.9892648458480835,1.0,1.0,1957.0,1995.0
56,1.0,0.9875674843788147,1.0,1.0,1923.0,1937.0
57,1.0,0.9859763979911804,1.0,1.0,1939.0,1915.0
58,1.0,0.9880688786506653,1.0,1.0,1911.0,1920.0
59,1.0,0.9911181330680847,1.0,1.0,1122.0,1128.0
60,1.0,0.9885587096214294,1.0,1.0,1106.0,1102.0
61,1.0,0.9880819916725159,1.0,1.0,1104.0,1102.0
62,1.0,0.9917210340499878,1.0,1.0,1102.0,1103.0

Mean Boundary F1,0.9999265324684882
Mean Boundary IoU,0.9889691673940227
Mean Boundary Precision,0.9998532216395101
Mean Boundary Recall,1.0
